아이디,한자,구자,부수,총획,학년,추가연도,삭제연도,발음,훈음,뜻
0483,経,經,糸,11,5,,,ケイ、キョウ、へ-る,지날/ 글 경,1.경2.경문
0484,蛍,螢,虫,11,S,1981,,ケイ、ほたる,반딧불 형,1.개똥벌레2.반디
0485,敬,,攴,12,6,,,ケイ、うやま-う,공경할 경,1.존경하다2.일에조심하다3.소홀히하지않다
0486,景,,日,12,4,,,ケイ,볕 경,1.그늘2.경치3.극의장면4.풍치5.우러러보다
0487,軽,輕,車,12,3,,,ケイ、かる-い、かろ-やか,가벼울 경,1.(무게가)가볍다2.(몸이)가볍다3.손쉬운4.(정도가)가볍다5.경솔하다
0488,傾,,人,13,S,,,ケイ、かたむ-く、かたむ-ける,기울 경,1.기울다2.치우치다3.뒤엎다4.기울음5.기울게하다
0489,携,,手,13,S,,,ケイ、たずさ-える、たずさ-わる,이끌 휴,1.손에들다2.남의손을끌다3.맞잡다
0490,継,繼,糸,13,S,,,ケイ、つ-ぐ,이을 계,1.연결하다2.잇다3.이어받다4.뒤를이은사람5.재혼한부부
0491,詣,,言,13,S,2010,,ケイ、もう-でる,이를 예,1.이르다2.가다3.방문하다4.(학예등이)진보되다5.참배하다
0492,慶,,心,15,S,,,ケイ,경사 경,1.경사로여기다2.하사품3.축하하다4.포상5.경사
0493,憬,,心,15,S,2010,,ケイ,깨달을 경,
0494,稽,,禾,15,S,2010,,ケイ,머무를 계,1.생각하다2.멎다3.닿다4.비교하여고찰하다5.만류하다
0495,憩,,心,16,S,,,ケイ、いこ-い、いこ-う,쉴 게,1.쉬다2.숨을돌리다
0496,警,,言,19,6,,,ケイ,깨우칠 경,1.타이르다2.비상사태에대비하다3.재빠르다4.경찰5.'警察けいさつ' '警察官けいさつかん'의준말
0497,鶏,鷄,鳥,19,S,,,ケイ、にわとり,닭 계,닭
0498,芸,藝,艸,7,4,,,ゲイ,재주 예,1.수련하여몸에익힌기능2.예술에관한일3.심다4.학문5.화초를심다
0499,迎,,辵,7,S,,,ゲイ、むか-える,맞을 영,1.맞이하다2.남의비위를맞추다3.기다리다4.접대하다
0500,鯨,,魚,19,S,,,ゲイ、くじら,고래 경,고래
0501,隙,,阜,13,S,2010,,ゲキ、すき,틈 극,
0502,劇,,刀,15,6,,,ゲキ,심할 극,1.심함2.연극3.격렬함4.놀이5.빠름
0503,撃,擊,手,15,S,,,ゲキ、う-つ,칠 격,1.침2.공격함3.눈에뜨이다4.두들김5.무력을가함
0504,激,,水,16,6,,,ゲキ、はげ-しい,격할 격,1.물결이거셈2.심함3.격려함4.기세가셈5.세를북돋음
0505,桁,,木,10,S,2010,,けた,도리 형,
0506,欠,缺,缶,4,4,,,ケツ、か-ける、か-く,이지러질 결,
0507,穴,,穴,5,6,,,ケツ、あな,구멍 혈,
0508,血,,血,6,3,,,ケツ、ち,피 혈,1.피2.혈액3.핏줄4.(비유적으로)혈기5.'血ちの道みち'의준말
0509,決,,水,7,3,,,ケツ、き-める、き-まる,결단할 결,1.(둑이무너져)물이넘치다2.결정하다3.결론을내다4.결단하다5.결렬되다
0510,結,,糸,12,4,,,ケツ、むす-ぶ、ゆ-う、ゆ-わえる,맺을 결,1.잇다2.모이다3.약속하다4.(짜서)하나로만들다5.매듭짓다
0511,傑,,人,13,S,,,ケツ,뛰어날 걸,1.뛰어나다2.뛰어난인물
0512,潔,,水,15,5,,,ケツ、いさぎよ-い,깨끗할 결,1.깨끗하다2.맑다
0513,月,,月,4,1,,,ゲツ、ガツ、つき,달 월,1.달2.(달력의)달3.달빛4.(임신의)달5.위성
0514,犬,,犬,4,1,,,ケン、いぬ,개 견,1.개2.앞잡이3.끄나풀4.첩자
0515,件,,人,6,5,,,ケン,물건 건,1.나누다2.사건3.구별하다4.줄거리5.사물을세는말
0516,見,,見,7,1,,,ケン、み-る、み-える、み-せる,볼 견,봄
0517,券,,刀,8,6,,,ケン,문서 권,1.부절(符節)2.우표·인지3.부절에써서약속하다4.논·밭문서
0518,肩,,肉,8,S,,,ケン、かた,어깨 견,1.어깨2.(동물의)죽지3.(의복등의)어깨4.(종이·글씨등의)어깨부분5.어깨힘
0519,建,,廴,9,4,,,ケン、（コン）、た-てる、た-つ,세울 건,1.세우다2.(절등을)짓다3.건의하다4.일으키다5.만들다
0520,研,硏,石,9,3,,,ケン、と-ぐ,갈 연,1.갈다2.연구하다3.벼루4.닦다
0521,県,縣,糸,9,3,,,ケン,고을 현,1.행정구획의하나2.중국의주(周)나라때는군(郡)위에있었으나전국시대이후에는군에속했음.현재는성(省)밑에있음3.일본에서는옛날4.현재일본의행정구획의하나5.(멀리)떨어지다
0522,倹,儉,人,10,S,,,ケン,검소할 검,1.검소하다2.겸손하다3.모자라다4.적다
0523,兼,,八,10,S,,,ケン、か-ねる,겸할 겸,1.겸하다2.미리3.사전에
0524,剣,劍,刀,10,S,,,ケン、つるぎ,칼 검,1.검2.검을사용하는기술3.총부리에붙이는창과같은병기4.곤충의산란관
0525,拳,,手,10,S,2010,,ケン、こぶし,주먹 권,주먹
0526,軒,,車,10,S,,,ケン、のき,집 헌,1.처마2.난간3.(옛날중국의)수레4.오르다5.집
0527,健,,人,11,4,,,ケン、すこ-やか,굳셀 건,1.튼튼함2.잘3.건강함4.몹시5.심하다
0528,険,險,阜,11,5,,,ケン、けわ-しい,험할 험,1.험하다2.위험하다3.부정하다4.험악하다5.어렵다
0529,圏,圈,囗,12,S,,,ケン,우리 권,1.우리2.(한정된)구역3.울타리4.범위
0530,堅,,土,12,S,,,ケン、かた-い,굳을 견,1.단단하다2.굳게3.견고하다4.단단히
0531,検,檢,木,12,5,,,ケン,검사할 검,1.조사하다2.봉인하다3.단속하다4.검찰청5.'検察庁けんさつちょう' '検定試験けんていしけん'의준말
0532,嫌,,女,13,S,1981,,ケン、（ゲン）、きら-う、いや,싫어할 혐,
0533,献,獻,犬,13,S,,,ケン、（コン）,드릴 헌,1.바치다2.술을권하다3.술을권하는도수(度數)4.현명한사람5.드리다
0534,絹,,糸,13,6,,,ケン、きぬ,비단 견,1.명주실2.비단3.견사4.견직물
0535,遣,,辵,13,S,,,ケン、つか-う、つか-わす,보낼 견,1.보내다2.풀어주다3.(한문에서)사역(使役)의조어(助語)4.파견하다5.내쫓다
0536,権,權,木,15,6,,,ケン、（ゴン）,권세 권,1.저울추2.무게3.균형4.꾀5.임시
0537,憲,,心,16,6,,,ケン,법 헌,1.법규2.중요한지위에있는관리3.규정4.모범
0538,賢,,貝,16,S,,,ケン、かしこ-い,어질 현,1.어질다2.상대방에대한높임말3.('聖'이청주(清酒)를의미함에대하여)탁주를말함4.어진사람
0539,謙,,言,17,S,,,ケン,겸손할 겸,1.겸손하다2.양보하다
0540,鍵,,金,17,S,2010,,ケン、かぎ,열쇠 건,1.열쇠2.자물쇠3.(문제해결의)열쇠
0541,繭,,糸,18,S,,,ケン、まゆ,고치 견,1.고치2.누에고치
0542,顕,顯,頁,18,S,,,ケン,나타날 현,
0543,験,驗,馬,18,4,,,ケン、（ゲン）,시험 험,1.영검2.효험3.조짐4.효능5.징조
0544,懸,,心,20,S,,,ケン、（ケ）、か-ける、か-かる,달 현,
0545,元,,儿,4,2,,,ゲン、ガン、もと,으뜸 원,
0546,幻,,幺,4,S,,,ゲン、まぼろし,헛보일 환,1.환상(幻像)2.환영(幻影)3.헛것
0547,玄,,玄,5,S,,,ゲン,검을 현,1.검정2.아득히멀다3.노자(老子)의학설로천지만물을초월한경지4.검붉은색5.심오한이치
0548,言,,言,7,2,,,ゲン、ゴン、い-う、こと,말씀 언,1.말하다2.말3.말하려는뜻4.명령5.말함
0549,弦,,弓,8,S,,,ゲン、つる,시위 현,1.현2.반달3.(악기의)현4.활시위
0550,限,,阜,9,5,,,ゲン、かぎ-る,제한할 한,
0551,原,,厂,10,2,,,ゲン、はら,언덕 원,
0552,現,,玉,11,5,,,ゲン、あらわ-れる、あらわ-す,나타날 현,1.나타나다2.실제로있다3.現世げんせ또는現在げんざい의준말4.現人うつせみ이세상사람·現人神あらひとがみ일본의天皇てんのう5.드러나다
0553,舷,,舟,11,S,2010,,ゲン,뱃전 현,
0554,減,,水,12,5,,,ゲン、へ-る、へ-らす,덜 감,1.줄다2.뺄셈3.고대특정신분을갖는사람에대한법률로서정한형법상특전4.수위(水位)가줄다5.적어지다
0555,源,,水,13,6,,,ゲン、みなもと,근원 원,1.근원2.'みなもと'씨(氏)3.수원4.시초
0556,厳,嚴,口,17,6,,,ゲン、（ゴン）、おごそ-か、きび-しい,엄할 엄,1.엄숙함2.엄하다3.경고하다4.아버지의높임말5.엄숙하다
0557,己,,己,3,6,,,コ、キ、おのれ,몸 기,1.자기2.저3.너4.이놈5.몹시성나거나분할때내는소리
0558,戸,戶,戶,4,2,,,コ、と,집 호,1.문2.집3.술마시는양4.문짝5.인가
0559,古,,口,5,2,,,コ、ふる-い、ふる-す,옛 고,1.오래되다2.옛날3.낡다4.옛적
0560,呼,,口,8,6,,,コ、よ-ぶ,부를 호,1.숨을내쉼2.부르다3.이르다4.아5.날숨
0561,固,,囗,8,4,,,コ、かた-める、かた-まる、かた-い,굳을 고,1.굳히다2.고집스러움3.본래4.굳다5.본디부터
0562,股,,肉,8,S,2010,,コ、また,넓적다리 고,(다리의)가랑이
0563,虎,,虍,8,S,2010,,コ、とら,범 호,1.범2.주정뱅이3.호랑이
0564,孤,,子,9,S,,,コ,외로울 고,1.고아2.혼자3.하나4.외돌토리
0565,弧,,弓,9,S,,,コ,활 호,1.호2.활모양3.원둘레또는곡선의일부분
0566,故,,攴,9,5,,,コ、ゆえ,연고 고,1.이유2.사정3.…때문4.까닭5.내력
0567,枯,,木,9,S,,,コ、か-れる、か-らす,마를 고,1.｢かれ(枯)｣와같음2.복합어로사용된다
0568,個,,人,10,5,,,コ,낱 개,1.하나2.낱개3.한사람
0569,庫,,广,10,3,,,コ、（ク）,곳집 고,1.곳간2.창고
0570,湖,,水,12,3,,,コ、みずうみ,호수 호,호수
0571,雇,,隹,12,S,,,コ、やと-う,품 팔 고,고용하다
0572,誇,,言,13,S,,,コ、ほこ-る,자랑할 과,1.자랑하다2.뽐내다3.자만하다
0573,鼓,,鼓,13,S,,,コ、つづみ,북 고,1.북2.타악기3.장구
0574,錮,,金,16,S,2010,,コ,막을 고,
0575,顧,,頁,21,S,,,コ、かえり-みる,돌아볼 고,1.뒤돌아보다2.생각하다3.둘러보다4.마음에두다
0576,五,,二,4,1,,,ゴ、いつ、いつ-つ,다섯 오,1.오2.다섯
0577,互,,二,4,S,,,ゴ、たが-い,서로 호,1.서로2.뒤섞이다3.번갈아4.헝클어지다
0578,午,,十,4,2,,,ゴ,낮 오,
0579,呉,吳,口,7,S,,,ゴ,성씨 오,1.오2.(중국의)오나라3.옛오나라지방4.지금의장쑤성(江蘇省)일대
0580,後,,彳,9,2,,,ゴ、コウ、のち、うし-ろ、あと、おく-れる,뒤 후,1.(등의)뒤2.뒤쪽3.(그때를기준한)뒤4.앞으로
0581,娯,娛,女,10,S,,,ゴ,즐길 오,1.즐기다2.즐거움3.즐겁다
0582,悟,,心,10,S,,,ゴ、さと-る,깨달을 오,1.깨닫다2.깨달음이빠르다3.이해하다
0583,碁,,石,13,S,,,ゴ,바둑 기,바둑
0584,語,,言,14,2,,,ゴ、かた-る、かた-らう,말씀 어,1.말하다2.말3.'物語ものがたり'의준말4.이야기하다5.낱말
0585,誤,,言,14,6,,,ゴ、あやま-る,그르칠 오,1.실수하다2.틀리다3.잘못
0586,護,,言,20,5,,,ゴ,도울 호,
0587,口,,口,3,1,,,コウ、ク、くち,입 구,1.입2.말3.소문4.말참견5.입맛
0588,工,,工,3,2,,,コウ、ク,장인 공,1.꾸밈2.장색3.관리4.공업5.기예
0589,公,,八,4,2,,,コウ、おおやけ,공평할 공,1.공평하다2.조정3.사회일반4.널리해당되다5.임금
0590,勾,,勹,4,S,2010,,コウ,굽을 구,
0591,孔,,子,4,S,,,コウ,구멍 공,
0592,功,,力,5,4,,,コウ、（ク）,공 공,1.공2.일3.효과4.공적5.행위
0593,巧,,工,5,S,,,コウ、たく-み,공교할 교,1.기교2.솜씨가좋음3.기술4.기량
0594,広,廣,广,5,2,,,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,넓을 광,1.넓음2.넓어지다3.옆4.끝없이넓음5.퍼지다
0595,甲,,田,5,S,,,コウ、カン,갑옷 갑,1.(거북등의)등딱지2.(손발의)등3.(등급의)갑4.(순서등의)갑
0596,交,,亠,6,2,,,コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす,사귈 교,1.교차하다2.사귀다3.교환하다4.환절기5.섞이다
0597,光,,儿,6,2,,,コウ、ひか-る、ひかり,빛 광,1.빛2.광선3.불빛4.광5.희망
0598,向,,口,6,3,,,コウ、む-く、む-ける、む-かう、む-こう,향할 향,
0599,后,,口,6,6,,,コウ,임금/왕후 후,1.임금2.황후3.지신(地神)4.후5.'後ご'와같이통용됨
0600,好,,女,6,4,,,コウ、この-む、す-く,좋을 호,1.아름답다2.좋아하다3.좋다4.친분5.훌륭하다
0601,江,,水,6,S,,,コウ、え,강 강,
0602,考,,老,6,2,,,コウ、かんが-える,생각할 고,1.생각하다2.조사하다3.죽은아버지4.고증이나고구(考究)를기술한논문5.숙고하다
0603,行,,行,6,2,,,コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う,갈 행,1.행2.(글자의)줄3.행서4.'行書ぎょうしょ'의준말5.(불교의)수행
0604,坑,,土,7,S,,,コウ,구덩이 갱,
0605,孝,,子,7,6,,,コウ,효도 효,1.효도2.부모상을입음
0606,抗,,手,7,S,,,コウ,겨룰 항,1.올리다2.항거하다3.높이올리다4.막다5.오르다
0607,攻,,攴,7,S,,,コウ、せ-める,칠 공,1.공격하다2.닦다3.적을치다4.배우다5.책망하다
0608,更,,曰,7,S,,,コウ、さら、ふ-ける、ふ-かす,고칠 경/ 다시 갱,1.바뀌다2.교대로3.다시4.하룻밤을5등분한시각을일컬음5.고치다
0609,効,,力,8,5,,,コウ、き-く,효과 효,1.효과가있다2.배우다3.다하다4.효력이있다5.모방하다
0610,幸,,干,8,3,,,コウ、さいわ-い、さち、しあわ-せ,다행 행,1.행복2.자연의산물
0611,拘,,手,8,S,,,コウ,잡을 구,1.붙들다2.관계되다3.붙잡다4.걸리다5.억류시키다
0612,肯,,肉,8,S,,,コウ,즐길 긍,1.승낙하다2.뼈가붙은살코기3.감히4.동의하다5.사물의급소
0613,侯,,人,9,S,,,コウ,제후 후,1.표적2.군주3.후작4.화살을쏘는과녁5.영주
0614,厚,,厂,9,5,,,コウ、あつ-い,두터울 후,1.두껍다2.풍족하게하다3.두께가있다4.많게하다5.풍족하다
0615,恒,恆,心,9,S,,,コウ,항상 항,1.항상2.오래다3.언제까지나변하지않다4.언제까지나5.평상
0616,洪,,水,9,S,1981,,コウ,넓을 홍,
0617,皇,,白,9,6,,,コウ、オウ,임금 황,1.임금2.천황3.일본4.신5.자기부모나조상제사때의높임말
0618,紅,,糸,9,6,,,コウ、（ク）、べに、くれない,붉을 홍,1.다홍2.잇꽃
0619,荒,,艸,9,S,,,コウ、あら-い、あ-れる、あ-らす,거칠 황,1.황폐한2.거친3.난폭한4.사나운
0620,郊,,邑,9,S,,,コウ,들 교,1.성밖2.제사3.시외4.천지에제를지내는제사이름5.변두리
0621,香,,香,9,4,,,コウ、（キョウ）、か、かお-り、かお-る,향기 향,1.향2.향기롭다3.좋은냄새가나는땔감4.향냄새를알아내는놀이5.좋다
0622,候,,人,10,4,,,コウ、そうろう,기후 후,<고어> 'さうらふ'가줄어서된말
0623,校,,木,10,1,,,コウ,학교 교,1.학교2.조사하다3.비교하다4.(칼·고랑·차꼬등)옛형구(刑具)5.지휘관
0624,耕,,耒,10,5,,,コウ、たがや-す,밭 갈 경,1.갈다2.일하여생계를이어나감3.논밭을갈다4.농사를짓다
0625,航,,舟,10,5,,,コウ,배 항,1.건너다2.하늘을날다3.선교4.배로물을건너다5.배다리
0626,貢,,貝,10,S,,,コウ、（ク）、みつ-ぐ,바칠 공,
0627,降,,阜,10,6,,,コウ、お-りる、お-ろす、ふ-る,내릴 강/항복할 항,1.내리다2.내려오다3.(적에게)지다4.굴종시키다5.이후
0628,高,,高,10,2,,,コウ、たか-い、たか、たか-まる、たか-める,높을 고,1.높다2.신분이높다3.고상하다4.흥분하다5.정도·단계가위의것
0629,康,,广,11,4,,,コウ,편안할 강,
0630,控,,手,11,S,,,コウ、ひか-える,당길 공,1.만류하다2.빼다3.호소하다4.고하다
0631,梗,,木,11,S,2010,,コウ,줄기 경,
0632,黄,黃,黃,11,2,,,コウ、オウ、き、（こ）,누를 황,⇒きいろ(참조어)
0633,喉,,口,12,S,2010,,コウ、のど,목구멍 후,
0634,慌,,心,12,S,,,コウ、あわ-てる、あわ-ただしい,어리둥절할 황,1.당황하다2.두려워하다3.황홀해하다4.어수선하다
0635,港,,水,12,3,,,コウ、みなと,항구 항,항구
0636,硬,,石,12,S,,,コウ、かた-い,굳을 경,1.단단하다2.강경함3.어중간함4.어설픔
0637,絞,,糸,12,S,,,コウ、しぼ-る、し-める、し-まる,목맬 교,
0638,項,,頁,12,S,,,コウ,항목 항,1.목덜미2.세분한항목3.항(項)4.목5.조항
0639,溝,,水,13,S,1981,,コウ、みぞ,도랑 구,1.골2.도랑3.홈4.(인간관계의)틈5.개천
0640,鉱,鑛,金,13,5,,,コウ,쇳돌 광,1.광석2.광산3.'鉱山こうざん'의준말
0641,構,,木,14,5,,,コウ、かま-える、かま-う,얽을 구,1.조립2.짜다3.깊이생각하다4.울5.조립하여만들다
0642,綱,,糸,14,S,,,コウ、つな,벼리 강,1.밧줄2.(비유적으로)의지할대상3.(相撲すもう에서)横綱よこづな4.力士りきし의최고위5.줄
0643,酵,,酉,14,S,,,コウ,삭힐 효,1.발효2.주정3.술찌끼
0644,稿,,禾,15,S,,,コウ,원고 고,1.짚2.초고(草稿)3.줄기
0645,興,,臼,16,5,,,コウ、キョウ、おこ-る、おこ-す,일어날 흥,1.흥2.흥미
0646,衡,,行,16,S,,,コウ,저울대 형,
0647,鋼,,金,16,6,,,コウ、はがね,강철 강,강철
0648,講,,言,17,5,,,コウ,외울 강,1.설득하다2.강의3.'講義こうぎ'의준말4.배우다5.화해하다
0649,購,,貝,17,S,,,コウ,살 구,사들이다
0650,乞,,乙,3,S,2010,,こ-う,빌 걸,
0651,号,號,虍,5,3,,,ゴウ,이름 호,1.(큰소리로)부르짖다2.(소리내어)울다3.신호4.호칭5.표지
0652,合,,口,6,2,,,ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる,합할 합,1.맞다2.들어맞다3.합쳐지다4.합치다5.合歓木ねむのき합환목
0653,拷,,手,9,S,,,ゴウ,칠 고,죄를자백받기위해매질함
0654,剛,,刀,10,S,,,ゴウ,굳셀 강,1.힘이세다2.단단하다3.대가세다4.굳다
0655,傲,,人,13,S,2010,,ゴウ,거만할 오,거만하다
0656,豪,,豕,14,S,,,ゴウ,호걸 호,1.뛰어나다2.재주·역량등이뛰어난사람3.거만떨다4.'オーストラリア'의준말5.기세가등등하다
0657,克,,儿,7,S,,,コク,이길 극,1.잘2.이기다3.충분히4.견디다5.능히
0658,告,吿,口,7,5,,,コク、つ-げる,고할 고,1.말하다2.호소하다3.알리다
0659,谷,,谷,7,2,,,コク、たに,골짜기 곡,1.산골짜기2.(파장이낮은)골3.(지붕의)골
0660,刻,,刀,8,6,,,コク、きざ-む,새길 각,1.새기다2.가혹하다3.시간4.심하다5.때
0661,国,國,囗,8,2,,,コク、くに,나라 국,1.국가2.고국3.(특수한사물의)나라4.(막연히어떤지역을가리켜이르는)나라5.옛날의행정(지방)구획
0662,黒,黑,黑,11,2,,,コク、くろ、くろ-い,검을 흑,1.검정2.검은옷3.(바둑의)검은돌4.범인5.용의자
0663,穀,穀,禾,14,6,,,コク,곡식 곡,
0664,酷,,酉,14,S,,,コク,심할 혹,1.가혹하다2.심하다3.가차없다
0665,獄,,犬,14,S,,,ゴク,감옥 옥,
0666,骨,,骨,10,6,,,コツ、ほね,뼈 골,1.뼈2.(기물의)살3.기개4.수고5.중심인물
0667,駒,,馬,15,S,2010,,こま,망아지 구,1.말2.망아지3.(장기)말4.(三味線しゃみせん등의)기러기발5.(물건사이에끼우는)작은나무토막
0668,込,,辵,5,S,,,こ-む、こ-める,(일본한자)담다,
0669,頃,,頁,11,S,2010,,ころ,잠깐 경,1.(대체적인)시간2.기회3.경4.쯤5.때
0670,今,,人,4,2,,,コン、キン、いま,이제 금,1.지금2.(현재의)지금3.오늘날4.곧5.방금
0671,困,,囗,7,6,,,コン、こま-る,곤할 곤,1.곤란하다2.고생하다3.궁하다
0672,昆,,日,8,S,1981,,コン,벌레 곤,1.형2.후사3.벌레4.자손
0673,恨,,心,9,S,,,コン、うら-む、うら-めしい,한 한,
0674,根,,木,10,3,,,コン、ね,뿌리 근,1.뿌리2.(사물의)뿌리3.본성4.(밑부분의)뿌리5.(부스럼의)근
0675,婚,,女,11,S,,,コン,혼인할 혼,1.혼인을하다2.부부가되다3.시집가다
0676,混,,水,11,5,,,コン、ま-じる、ま-ざる、ま-ぜる、こ-む,섞을 혼,1.섞임2.불분명3.섞음4.혼잡
0677,痕,,疒,11,S,2010,,コン、あと,흔적 흔,1.흉터2.흔적3.형적
0678,紺,,糸,11,S,,,コン,감색 감,1.감색2.자청색(紫靑色)
0679,魂,,鬼,14,S,,,コン、たましい,넋 혼,
0680,墾,,土,16,S,,,コン,개간할 간,1.황무지를갊2.개간
0681,懇,,心,17,S,,,コン、ねんご-ろ,간절할 간,1.진실2.마음이풀림3.정성4.격의가없어짐5.친절
0682,左,,工,5,1,,,サ、ひだり,왼 좌,1.좌2.왼쪽3.좌익4.술을잘마심5.왼편
0683,佐,,人,7,4,,,サ,도울 좌,
0684,沙,,水,7,S,2010,,サ,모래 사,
0685,査,,木,9,5,,,サ,조사할 사,1.조사하다2.잘보아밝히다
0686,砂,,石,9,6,,,サ、シャ、すな,모래 사,모래
0687,唆,,口,10,S,,,サ、そそのか-す,부추길 사,1.꾀다2.사주하다3.부추기다
0688,差,,工,10,4,,,サ、さ-す,다를 차,1.차2.차이3.(뺄셈의)나머지4.간격
0689,詐,,言,12,S,,,サ,속일 사,1.속이다2.거짓3.거짓말
0690,鎖,,金,18,S,,,サ、くさり,쇠사슬 쇄,
0691,座,,广,10,6,,,ザ、すわ-る,,1.앉을자리2.어떤위치·부분을차지하는사물에대한호칭3.받침4.앉다5.모임
0692,挫,,手,10,S,2010,,ザ,꺾을 좌,1.세력이약해지다2.부딪쳐속으로상처를입다
0693,才,,手,3,2,,,サイ,재주 재,1.타고난재주2.재주꾼
0694,再,,冂,6,5,,,サイ、（サ）、ふたた-び,두 재,1.다시금2.또한번
0695,災,,火,7,5,,,サイ、わざわ-い,재앙 재,
0696,妻,,女,8,5,,,サイ、つま,아내 처,1.아내2.(요리에)곁들이는채소·해초3.(비유적으로)보잘것없는것4.박공(벽)
0697,采,,釆,8,S,2010,,サイ,풍채 채,1.채색2.모습3.봉토(封土)4.선택5.무늬
0698,砕,碎,石,9,S,,,サイ、くだ-く、くだ-ける,부술 쇄,1.부수다2.잘다3.잘게쪼개다4.자질구레하다5.가루가되다
0699,宰,,宀,10,S,,,サイ,재상 재,1.맡아서주관하는사람2.주관하다3.요리인(料理人)4.대신이나신하의우두머리
0700,栽,,木,10,S,,,サイ,심을 재,1.묘목을심다2.심음3.나무를심은곳
0701,彩,,彡,11,S,,,サイ、いろど-る,채색 채,1.채색2.아름답게빛남3.모양4.彩絵だみえ극채화(極彩畵)5.아름다운빛깔
0702,採,,手,11,5,,,サイ、と-る,캘 채,1.잡다2.취하다3.끄집어내다4.고르다5.결정하다
0703,済,濟,水,11,6,,,サイ、す-む、す-ます,건널 제,1.마치다2.일을성취하다3.구하다4.많고성함5.끝나다
0704,祭,,示,11,3,,,サイ、まつ-る、まつ-り,제사 제,1.제사지내다2.기념행사3.제사4.잔치5.축제
0705,斎,齋,齊,11,S,,,サイ,재계할/ 집 재,1.심신을깨끗이하다2.신불에게제사지냄3.방4.아호(雅號)에붙이는글자5.斎日いみび기일
0706,細,,糸,11,2,,,サイ、ほそ-い、ほそ-る、こま-か、こま-かい,가늘 세,1.가늘다2.잘다3.자세하다4.자질구레하다5.보잘것없다
0707,菜,,艸,11,4,,,サイ、な,나물 채,1.채소2.유채
0708,最,,曰,12,4,,,サイ、もっと-も,가장 최,1.가장2.위와같은뜻갈래는접두어로서숙어를만듦3.더없이4.첫째5.한창
0709,裁,,衣,12,6,,,サイ、た-つ、さば-く,마를 재,
0710,債,,人,13,S,,,サイ,빚 채,1.빚2.받을빚3.'債券さいけん'의준말4.부채
0711,催,,人,13,S,,,サイ、もよお-す,재촉할 최,1.재촉하다2.자연히그렇게되다3.모임·행사등을계획하여가지다4.그렇게되도록하다
0712,塞,,土,13,S,2010,,サイ、ソク、ふさ-ぐ、ふさ-がる,막힐 색/ 변방 새,1.(｢砦(채)｣ ｢寨(채)｣와의미적으로통함)성채2.외성(外城)3.나성(羅城)
0713,歳,歲,止,13,S,,,サイ、（セイ）,해 세,1.나이2.목성(木星)3.곡물의수확4.1년5.세월
0714,載,,車,13,S,,,サイ、の-せる、の-る,실을 재,1.싣다2.기록하다3.책4.해5.얹다
0715,際,,阜,14,5,,,サイ、きわ,즈음 제,1.경우2.경계3.때4.맞닿는곳5.즈음
0716,埼,,土,11,4,2010,,（さい）,갑 기,
0717,在,,土,6,5,,,ザイ、あ-る,있을 재,1.차지하다2.시골3.있다4.고향5.살아있다
0718,材,,木,7,4,,,ザイ,재목 재,1.재목2.재료3.재주4.재주있는사람
0719,剤,劑,刀,10,S,,,ザイ,약제 제,1.약을조제함2.조제한약
0720,財,,貝,10,5,,,ザイ、（サイ）,재물 재,1.보물2.재물3.경제활동을촉진하는데필요한돈(물건)
0721,罪,,网,13,5,,,ザイ、つみ,허물 죄,1.죄2.(종교에서)죄3.형벌4.못할짓5.무자비함
0722,崎,,山,11,4,1981,,さき,험할 기,1.(｢先さき｣의뜻)2.갑3.산이튀어나온끝4.곶5.산부리
0723,作,,人,7,2,,,サク、サ、つく-る,지을 작,1.만들다2.일3.거동4.꾀하다5.농사일
0724,削,,刀,9,S,,,サク、けず-る,깎을 삭,1.깎아내다2.줄이다3.시문(詩文)등을손질하여고침
0725,昨,,日,9,4,,,サク,어제 작,1.어제2.옛날3.이전
0726,柵,,木,9,S,2010,,サク,울타리 책,1.울짱2.성채(城砦)3.목책(木柵)
0727,索,,糸,10,S,,,サク,찾을 색/ 동아줄 삭,1.새끼줄2.찾다3.없어지다4.쓸쓸하다5.밧줄
0728,策,,竹,12,6,,,サク,꾀 책,1.책략2.대책3.계략
0729,酢,,酉,12,S,,,サク、す,식초 초,
0730,搾,,手,13,S,,,サク、しぼ-る,짤 착,1.짜다2.죄다3.짜내다4.압축하다
0731,錯,,金,16,S,,,サク,어긋날 착,1.섞이다2.엇갈리다3.틀리다4.교대로5.뒤섞이다
0732,咲,,口,9,S,,,さ-く,꽃필 소,1.웃다2.남의처분을기대할때의겸손한말
0733,冊,册,冂,5,6,,,サツ、サク,책 책,
0734,札,,木,5,4,,,サツ、ふだ,편지 찰,1.표2.승차권3.입찰4.편지5.지폐
0735,刷,,刀,8,4,,,サツ、す-る,인쇄할 쇄,1.찍다2.쓸다3.인쇄하다4.닦다5.깨끗이하다
0736,刹,,刀,8,S,2010,,サツ、セツ,절 찰,1.절2.사원
